2004-10	36
2004-11	7
2004-12	14
2005-01	17
2005-02	24
2005-03	50
2005-04	55
2005-05	53
2005-06	47
2005-07	69
2005-08	88
2005-09	60
2005-10	67
2005-11	72
2005-12	122
2006-01	204
2006-02	197
2006-03	246
2006-04	245
2006-05	227
2006-06	283
2006-07	312
2006-08	561
2006-09	477
2006-10	476
2006-11	407
2006-12	532
2007-01	785
2007-02	703
2007-03	772
2007-04	853
2007-05	928
2007-06	998
2007-07	1160
2007-08	1190
2007-09	954
2007-10	962
2007-11	998
2007-12	1035
2008-01	1407
2008-02	1358
2008-03	1497
2008-04	1498
2008-05	1576
2008-06	1801
2008-07	2182
2008-08	2078
2008-09	1991
2008-10	1842
2008-11	2028
2008-12	2007
2009-01	2836
2009-02	2624
2009-03	2753
2009-04	3172
2009-05	3134
2009-06	3325
2009-07	3496
2009-08	3951
2009-09	3451
2009-10	3049
2009-11	2798
2009-12	3029
2010-01	4248
2010-02	3959
2010-03	4463
2010-04	3998
2010-05	4070
2010-06	5274
2010-07	6813
2010-08	6421
2010-09	5507
2010-10	4865
2010-11	4921
2010-12	5600
2011-01	7030
2011-02	7073
2011-03	7597
2011-04	7208
2011-05	7433
2011-06	7643
2011-07	8444
2011-08	7788
2011-09	6779
2011-10	7077
2011-11	6878
2011-12	6384
2012-01	7116
2012-02	6469
2012-03	7224
2012-04	6609
2012-05	6719
2012-06	7311
2012-07	7836
2012-08	7407
2012-09	7470
2012-10	7767
2012-11	6764
2012-12	6773
2013-01	7484
2013-02	6711
2013-03	7508
2013-04	7102
2013-05	7715
2013-06	7924
2013-07	8365
2013-08	8600
2013-09	7163
2013-10	6804
2013-11	6191
2013-12	6241
2014-01	7235
2014-02	6508
2014-03	7758
2014-04	7377
2014-05	8328
2014-06	8530
2014-07	9664
2014-08	8669
2014-09	6918
2014-10	7254
2014-11	6544
2014-12	6401
2015-01	7672
2015-02	7083
2015-03	7617
2015-04	6585
2015-05	6366
2015-06	6160
2015-07	6331
2015-08	5370
2015-09	4060
2015-10	3839
2015-11	2187
2015-12	1967
2016-01	1
